Year,Degree,MSE,R2,Intercept,var0,var1,var2,var3
2011,2,0.003210587647905597,-0.04078677026243849,0.06051146247562493,0,0,-2.1433144992565935e-12,0.0
2012,2,0.0031037207173362654,-0.046779903382422106,0.05929106214293633,0,0,-1.898932974355866e-12,0.0
2013,2,0.003063097711788063,-0.04510943562341163,0.058203861983874824,0,0,-1.7258244139234625e-12,0.0
2014,2,0.003007978068958011,-0.0556654703753281,0.05535124434762075,0,0,-1.219124945191655e-12,0.0
2015,2,0.002967080399059796,-0.05574140762959945,0.054438429100292486,0,0,-1.1131069374009142e-12,0.0
2016,2,0.0031049017267173558,-0.04188887704103639,0.055714487956187476,0,0,-1.2421457768213714e-12,0.0
2017,2,0.00314100521858613,-0.03436885002437173,0.05765426557508569,0,0,-1.3432439715076181e-12,0.0
2018,2,0.003601752060126263,-0.007941315506391433,0.06093743035552776,0,0,-1.5205075788751356e-12,0.0
2019,2,0.003927575659635532,-0.011246220584947064,0.06786931149725764,0,0,-2.0490156624674895e-12,0.0
2020,3,0.0040527863135076765,-0.035177466248377476,0.05739817167163642,0,0,0.0,-4.3397975609405036e-18
2021,2,0.022115517108835664,0.027164048953943865,0.06242355673955111,0,0,-1.6904305565601388e-12,0.0
